,fips,name,state
1944,37039,Cherokee County,NC
1945,37041,Chowan County,NC
1946,37043,Clay County,NC
1947,37045,Cleveland County,NC
1948,37047,Columbus County,NC
1949,37049,Craven County,NC
1950,37051,Cumberland County,NC
1951,37053,Currituck County,NC
1952,37055,Dare County,NC
1953,37057,Davidson County,NC
1954,37059,Davie County,NC
1955,37061,Duplin County,NC
1956,37063,Durham County,NC
1957,37065,Edgecombe County,NC
1958,37067,Forsyth County,NC
1959,37069,Franklin County,NC
1960,37071,Gaston County,NC
1961,37073,Gates County,NC
1962,37075,Graham County,NC
1963,37077,Granville County,NC
1964,37079,Greene County,NC
1965,37081,Guilford County,NC
1966,37083,Halifax County,NC
1967,37085,Harnett County,NC
1968,37087,Haywood County,NC
1969,37089,Henderson County,NC
1970,37091,Hertford County,NC
1971,37093,Hoke County,NC
1972,37095,Hyde County,NC
1973,37097,Iredell County,NC
1974,37099,Jackson County,NC
1975,37101,Johnston County,NC
1976,37103,Jones County,NC
1977,37105,Lee County,NC
1978,37107,Lenoir County,NC
1979,37109,Lincoln County,NC
1980,37111,McDowell County,NC
1981,37113,Macon County,NC
1982,37115,Madison County,NC
1983,37117,Martin County,NC
1984,37119,Mecklenburg County,NC
1985,37121,Mitchell County,NC
1986,37123,Montgomery County,NC
1987,37125,Moore County,NC
1988,37127,Nash County,NC
1989,37129,New Hanover County,NC
1990,37131,Northampton County,NC
1991,37133,Onslow County,NC
1992,37135,Orange County,NC
1993,37137,Pamlico County,NC
1994,37139,Pasquotank County,NC
1995,37141,Pender County,NC
1996,37143,Perquimans County,NC
1997,37145,Person County,NC
1998,37147,Pitt County,NC
1999,37149,Polk County,NC
2000,37151,Randolph County,NC
2001,37153,Richmond County,NC
2002,37155,Robeson County,NC
2003,37157,Rockingham County,NC
2004,37159,Rowan County,NC
2005,37161,Rutherford County,NC
2006,37163,Sampson County,NC
2007,37165,Scotland County,NC
2008,37167,Stanly County,NC
2009,37169,Stokes County,NC
2010,37171,Surry County,NC
2011,37173,Swain County,NC
2012,37175,Transylvania County,NC
2013,37177,Tyrrell County,NC
2014,37179,Union County,NC
2015,37181,Vance County,NC
2016,37183,Wake County,NC
2017,37185,Warren County,NC
2018,37187,Washington County,NC
2019,37189,Watauga County,NC
2020,37191,Wayne County,NC
2021,37193,Wilkes County,NC
2022,37195,Wilson County,NC
2023,37197,Yadkin County,NC
2024,37199,Yancey County,NC
2025,38000,NORTH DAKOTA,
2026,38001,Adams County,ND
2027,38003,Barnes County,ND
2028,38005,Benson County,ND
2029,38007,Billings County,ND
2030,38009,Bottineau County,ND
2031,38011,Bowman County,ND
2032,38013,Burke County,ND
2033,38015,Burleigh County,ND
2034,38017,Cass County,ND
2035,38019,Cavalier County,ND
2036,38021,Dickey County,ND
2037,38023,Divide County,ND
2038,38025,Dunn County,ND
2039,38027,Eddy County,ND
2040,38029,Emmons County,ND
2041,38031,Foster County,ND
2042,38033,Golden Valley County,ND
2043,38035,Grand Forks County,ND
2044,38037,Grant County,ND
2045,38039,Griggs County,ND
2046,38041,Hettinger County,ND
2047,38043,Kidder County,ND
2048,38045,LaMoure County,ND
2049,38047,Logan County,ND
2050,38049,McHenry County,ND
2051,38051,McIntosh County,ND
2052,38053,McKenzie County,ND
2053,38055,McLean County,ND
2054,38057,Mercer County,ND
2055,38059,Morton County,ND
2056,38061,Mountrail County,ND
2057,38063,Nelson County,ND
2058,38065,Oliver County,ND
2059,38067,Pembina County,ND
2060,38069,Pierce County,ND
2061,38071,Ramsey County,ND
2062,38073,Ransom County,ND
2063,38075,Renville County,ND
2064,38077,Richland County,ND
2065,38079,Rolette County,ND
2066,38081,Sargent County,ND
2067,38083,Sheridan County,ND
2068,38085,Sioux County,ND
2069,38087,Slope County,ND
2070,38089,Stark County,ND
2071,38091,Steele County,ND
2072,38093,Stutsman County,ND
2073,38095,Towner County,ND
2074,38097,Traill County,ND
2075,38099,Walsh County,ND
2076,38101,Ward County,ND
2077,38103,Wells County,ND
2078,38105,Williams County,ND
2079,39000,OHIO,
2080,39001,Adams County,OH
2081,39003,Allen County,OH
2082,39005,Ashland County,OH
2083,39007,Ashtabula County,OH
2084,39009,Athens County,OH
2085,39011,Auglaize County,OH
2086,39013,Belmont County,OH
2087,39015,Brown County,OH
2088,39017,Butler County,OH
2089,39019,Carroll County,OH
2090,39021,Champaign County,OH
2091,39023,Clark County,OH
2092,39025,Clermont County,OH
2093,39027,Clinton County,OH
2094,39029,Columbiana County,OH
2095,39031,Coshocton County,OH
2096,39033,Crawford County,OH
2097,39035,Cuyahoga County,OH
2098,39037,Darke County,OH
2099,39039,Defiance County,OH
2100,39041,Delaware County,OH
2101,39043,Erie County,OH
2102,39045,Fairfield County,OH
2103,39047,Fayette County,OH
2104,39049,Franklin County,OH
2105,39051,Fulton County,OH
2106,39053,Gallia County,OH
2107,39055,Geauga County,OH
2108,39057,Greene County,OH
2109,39059,Guernsey County,OH
2110,39061,Hamilton County,OH
2111,39063,Hancock County,OH
2112,39065,Hardin County,OH
2113,39067,Harrison County,OH
2114,39069,Henry County,OH
2115,39071,Highland County,OH
2116,39073,Hocking County,OH
2117,39075,Holmes County,OH
2118,39077,Huron County,OH
2119,39079,Jackson County,OH
2120,39081,Jefferson County,OH
2121,39083,Knox County,OH
2122,39085,Lake County,OH
2123,39087,Lawrence County,OH
2124,39089,Licking County,OH
2125,39091,Logan County,OH
2126,39093,Lorain County,OH
2127,39095,Lucas County,OH
2128,39097,Madison County,OH
2129,39099,Mahoning County,OH
2130,39101,Marion County,OH
2131,39103,Medina County,OH
2132,39105,Meigs County,OH
2133,39107,Mercer County,OH
2134,39109,Miami County,OH
2135,39111,Monroe County,OH
2136,39113,Montgomery County,OH
2137,39115,Morgan County,OH
2138,39117,Morrow County,OH
2139,39119,Muskingum County,OH
2140,39121,Noble County,OH
2141,39123,Ottawa County,OH
2142,39125,Paulding County,OH
2143,39127,Perry County,OH
2144,39129,Pickaway County,OH
2145,39131,Pike County,OH
2146,39133,Portage County,OH
2147,39135,Preble County,OH
2148,39137,Putnam County,OH
2149,39139,Richland County,OH
2150,39141,Ross County,OH
2151,39143,Sandusky County,OH
2152,39145,Scioto County,OH
2153,39147,Seneca County,OH
2154,39149,Shelby County,OH
2155,39151,Stark County,OH
2156,39153,Summit County,OH
2157,39155,Trumbull County,OH
2158,39157,Tuscarawas County,OH
2159,39159,Union County,OH
2160,39161,Van Wert County,OH
2161,39163,Vinton County,OH
2162,39165,Warren County,OH
2163,39167,Washington County,OH
2164,39169,Wayne County,OH
2165,39171,Williams County,OH
2166,39173,Wood County,OH
2167,39175,Wyandot County,OH
2168,40000,OKLAHOMA,
2169,40001,Adair County,OK
2170,40003,Alfalfa County,OK
2171,40005,Atoka County,OK
2172,40007,Beaver County,OK
2173,40009,Beckham County,OK
2174,40011,Blaine County,OK
2175,40013,Bryan County,OK
2176,40015,Caddo County,OK
2177,40017,Canadian County,OK
2178,40019,Carter County,OK
2179,40021,Cherokee County,OK
2180,40023,Choctaw County,OK
2181,40025,Cimarron County,OK
2182,40027,Cleveland County,OK
2183,40029,Coal County,OK
2184,40031,Comanche County,OK
2185,40033,Cotton County,OK
2186,40035,Craig County,OK
2187,40037,Creek County,OK
2188,40039,Custer County,OK
2189,40041,Delaware County,OK
2190,40043,Dewey County,OK
2191,40045,Ellis County,OK
2192,40047,Garfield County,OK
2193,40049,Garvin County,OK
2194,40051,Grady County,OK
2195,40053,Grant County,OK
2196,40055,Greer County,OK
2197,40057,Harmon County,OK
2198,40059,Harper County,OK
2199,40061,Haskell County,OK
2200,40063,Hughes County,OK
2201,40065,Jackson County,OK
2202,40067,Jefferson County,OK
2203,40069,Johnston County,OK
2204,40071,Kay County,OK
2205,40073,Kingfisher County,OK
2206,40075,Kiowa County,OK
2207,40077,Latimer County,OK
2208,40079,Le Flore County,OK
2209,40081,Lincoln County,OK
2210,40083,Logan County,OK
2211,40085,Love County,OK
2212,40087,McClain County,OK
2213,40089,McCurtain County,OK
2214,40091,McIntosh County,OK
2215,40093,Major County,OK
2216,40095,Marshall County,OK
2217,40097,Mayes County,OK
2218,40099,Murray County,OK
2219,40101,Muskogee County,OK
2220,40103,Noble County,OK
2221,40105,Nowata County,OK
2222,40107,Okfuskee County,OK
2223,40109,Oklahoma County,OK
2224,40111,Okmulgee County,OK
2225,40113,Osage County,OK
2226,40115,Ottawa County,OK
2227,40117,Pawnee County,OK
2228,40119,Payne County,OK
2229,40121,Pittsburg County,OK
2230,40123,Pontotoc County,OK
2231,40125,Pottawatomie County,OK
2232,40127,Pushmataha County,OK
2233,40129,Roger Mills County,OK
2234,40131,Rogers County,OK
2235,40133,Seminole County,OK
2236,40135,Sequoyah County,OK
2237,40137,Stephens County,OK
2238,40139,Texas County,OK
2239,40141,Tillman County,OK
2240,40143,Tulsa County,OK
2241,40145,Wagoner County,OK
2242,40147,Washington County,OK
2243,40149,Washita County,OK
2244,40151,Woods County,OK
2245,40153,Woodward County,OK
2246,41000,OREGON,
2247,41001,Baker County,OR
2248,41003,Benton County,OR
2249,41005,Clackamas County,OR
2250,41007,Clatsop County,OR
2251,41009,Columbia County,OR
2252,41011,Coos County,OR
2253,41013,Crook County,OR
2254,41015,Curry County,OR
2255,41017,Deschutes County,OR
2256,41019,Douglas County,OR
2257,41021,Gilliam County,OR
2258,41023,Grant County,OR
2259,41025,Harney County,OR
2260,41027,Hood River County,OR
2261,41029,Jackson County,OR
2262,41031,Jefferson County,OR
2263,41033,Josephine County,OR
2264,41035,Klamath County,OR
2265,41037,Lake County,OR
2266,41039,Lane County,OR
2267,41041,Lincoln County,OR
2268,41043,Linn County,OR
2269,41045,Malheur County,OR
2270,41047,Marion County,OR
2271,41049,Morrow County,OR
2272,41051,Multnomah County,OR
2273,41053,Polk County,OR
2274,41055,Sherman County,OR
2275,41057,Tillamook County,OR
2276,41059,Umatilla County,OR
2277,41061,Union County,OR
2278,41063,Wallowa County,OR
2279,41065,Wasco County,OR
2280,41067,Washington County,OR
2281,41069,Wheeler County,OR
2282,41071,Yamhill County,OR
2283,42000,PENNSYLVANIA,
2284,42001,Adams County,PA
2285,42003,Allegheny County,PA
2286,42005,Armstrong County,PA
2287,42007,Beaver County,PA
2288,42009,Bedford County,PA
2289,42011,Berks County,PA
2290,42013,Blair County,PA
2291,42015,Bradford County,PA
2292,42017,Bucks County,PA
2293,42019,Butler County,PA
2294,42021,Cambria County,PA
2295,42023,Cameron County,PA
2296,42025,Carbon County,PA
2297,42027,Centre County,PA
2298,42029,Chester County,PA
2299,42031,Clarion County,PA
2300,42033,Clearfield County,PA
2301,42035,Clinton County,PA
2302,42037,Columbia County,PA
2303,42039,Crawford County,PA
2304,42041,Cumberland County,PA
2305,42043,Dauphin County,PA
2306,42045,Delaware County,PA
2307,42047,Elk County,PA
2308,42049,Erie County,PA
2309,42051,Fayette County,PA
2310,42053,Forest County,PA
2311,42055,Franklin County,PA
2312,42057,Fulton County,PA
2313,42059,Greene County,PA
2314,42061,Huntingdon County,PA
2315,42063,Indiana County,PA
2316,42065,Jefferson County,PA
2317,42067,Juniata County,PA
2318,42069,Lackawanna County,PA
2319,42071,Lancaster County,PA
2320,42073,Lawrence County,PA
2321,42075,Lebanon County,PA
2322,42077,Lehigh County,PA
2323,42079,Luzerne County,PA
2324,42081,Lycoming County,PA
2325,42083,McKean County,PA
2326,42085,Mercer County,PA
2327,42087,Mifflin County,PA
2328,42089,Monroe County,PA
2329,42091,Montgomery County,PA
2330,42093,Montour County,PA
2331,42095,Northampton County,PA
2332,42097,Northumberland County,PA
2333,42099,Perry County,PA
2334,42101,Philadelphia County,PA
2335,42103,Pike County,PA
2336,42105,Potter County,PA
2337,42107,Schuylkill County,PA
2338,42109,Snyder County,PA
2339,42111,Somerset County,PA
2340,42113,Sullivan County,PA
2341,42115,Susquehanna County,PA
2342,42117,Tioga County,PA
2343,42119,Union County,PA
2344,42121,Venango County,PA
2345,42123,Warren County,PA
2346,42125,Washington County,PA
2347,42127,Wayne County,PA
2348,42129,Westmoreland County,PA
2349,42131,Wyoming County,PA
2350,42133,York County,PA
2351,44000,RHODE ISLAND,
2352,44001,Bristol County,RI
2353,44003,Kent County,RI
2354,44005,Newport County,RI
2355,44007,Providence County,RI
2356,44009,Washington County,RI
2357,45000,SOUTH CAROLINA,
2358,45001,Abbeville County,SC
2359,45003,Aiken County,SC
2360,45005,Allendale County,SC
2361,45007,Anderson County,SC
2362,45009,Bamberg County,SC
2363,45011,Barnwell County,SC
2364,45013,Beaufort County,SC
2365,45015,Berkeley County,SC
2366,45017,Calhoun County,SC
2367,45019,Charleston County,SC
2368,45021,Cherokee County,SC
2369,45023,Chester County,SC
2370,45025,Chesterfield County,SC
2371,45027,Clarendon County,SC
2372,45029,Colleton County,SC
2373,45031,Darlington County,SC
2374,45033,Dillon County,SC
2375,45035,Dorchester County,SC
2376,45037,Edgefield County,SC
2377,45039,Fairfield County,SC
2378,45041,Florence County,SC
2379,45043,Georgetown County,SC
2380,45045,Greenville County,SC
2381,45047,Greenwood County,SC
2382,45049,Hampton County,SC
2383,45051,Horry County,SC
2384,45053,Jasper County,SC
2385,45055,Kershaw County,SC
2386,45057,Lancaster County,SC
2387,45059,Laurens County,SC
2388,45061,Lee County,SC
2389,45063,Lexington County,SC
2390,45065,McCormick County,SC
2391,45067,Marion County,SC
2392,45069,Marlboro County,SC
2393,45071,Newberry County,SC
2394,45073,Oconee County,SC
2395,45075,Orangeburg County,SC
2396,45077,Pickens County,SC
2397,45079,Richland County,SC
2398,45081,Saluda County,SC
2399,45083,Spartanburg County,SC
2400,45085,Sumter County,SC
2401,45087,Union County,SC
2402,45089,Williamsburg County,SC
2403,45091,York County,SC
2404,46000,SOUTH DAKOTA,
2405,46003,Aurora County,SD
2406,46005,Beadle County,SD
2407,46007,Bennett County,SD
2408,46009,Bon Homme County,SD
2409,46011,Brookings County,SD
2410,46013,Brown County,SD
2411,46015,Brule County,SD
2412,46017,Buffalo County,SD
2413,46019,Butte County,SD
2414,46021,Campbell County,SD
2415,46023,Charles Mix County,SD
2416,46025,Clark County,SD
2417,46027,Clay County,SD
2418,46029,Codington County,SD
2419,46031,Corson County,SD
2420,46033,Custer County,SD
2421,46035,Davison County,SD
2422,46037,Day County,SD
2423,46039,Deuel County,SD
2424,46041,Dewey County,SD
2425,46043,Douglas County,SD
2426,46045,Edmunds County,SD
2427,46047,Fall River County,SD
2428,46049,Faulk County,SD
2429,46051,Grant County,SD
2430,46053,Gregory County,SD
2431,46055,Haakon County,SD
2432,46057,Hamlin County,SD
2433,46059,Hand County,SD
2434,46061,Hanson County,SD
2435,46063,Harding County,SD
2436,46065,Hughes County,SD
2437,46067,Hutchinson County,SD
2438,46069,Hyde County,SD
2439,46071,Jackson County,SD
2440,46073,Jerauld County,SD
2441,46075,Jones County,SD
2442,46077,Kingsbury County,SD
2443,46079,Lake County,SD
2444,46081,Lawrence County,SD
2445,46083,Lincoln County,SD
2446,46085,Lyman County,SD
2447,46087,McCook County,SD
2448,46089,McPherson County,SD
2449,46091,Marshall County,SD
2450,46093,Meade County,SD
2451,46095,Mellette County,SD
2452,46097,Miner County,SD
2453,46099,Minnehaha County,SD
2454,46101,Moody County,SD
2455,46103,Pennington County,SD
2456,46105,Perkins County,SD
2457,46107,Potter County,SD
2458,46109,Roberts County,SD
2459,46111,Sanborn County,SD
2460,46113,Shannon County,SD
2461,46115,Spink County,SD
2462,46117,Stanley County,SD
2463,46119,Sully County,SD
2464,46121,Todd County,SD
2465,46123,Tripp County,SD
2466,46125,Turner County,SD
2467,46127,Union County,SD
2468,46129,Walworth County,SD
2469,46135,Yankton County,SD
2470,46137,Ziebach County,SD
2471,47000,TENNESSEE,
2472,47001,Anderson County,TN
2473,47003,Bedford County,TN
2474,47005,Benton County,TN
2475,47007,Bledsoe County,TN
2476,47009,Blount County,TN
2477,47011,Bradley County,TN
2478,47013,Campbell County,TN
2479,47015,Cannon County,TN
2480,47017,Carroll County,TN
2481,47019,Carter County,TN
2482,47021,Cheatham County,TN
2483,47023,Chester County,TN
2484,47025,Claiborne County,TN
2485,47027,Clay County,TN
2486,47029,Cocke County,TN
2487,47031,Coffee County,TN
2488,47033,Crockett County,TN
2489,47035,Cumberland County,TN
2490,47037,Davidson County,TN
2491,47039,Decatur County,TN
2492,47041,DeKalb County,TN
2493,47043,Dickson County,TN
2494,47045,Dyer County,TN
2495,47047,Fayette County,TN
2496,47049,Fentress County,TN
2497,47051,Franklin County,TN
2498,47053,Gibson County,TN
2499,47055,Giles County,TN
2500,47057,Grainger County,TN
2501,47059,Greene County,TN
2502,47061,Grundy County,TN
2503,47063,Hamblen County,TN
2504,47065,Hamilton County,TN
2505,47067,Hancock County,TN
2506,47069,Hardeman County,TN
2507,47071,Hardin County,TN
2508,47073,Hawkins County,TN
2509,47075,Haywood County,TN
2510,47077,Henderson County,TN
2511,47079,Henry County,TN
2512,47081,Hickman County,TN
2513,47083,Houston County,TN
2514,47085,Humphreys County,TN
2515,47087,Jackson County,TN
2516,47089,Jefferson County,TN
2517,47091,Johnson County,TN
2518,47093,Knox County,TN
2519,47095,Lake County,TN
2520,47097,Lauderdale County,TN
2521,47099,Lawrence County,TN
2522,47101,Lewis County,TN
2523,47103,Lincoln County,TN
2524,47105,Loudon County,TN
2525,47107,McMinn County,TN
2526,47109,McNairy County,TN
2527,47111,Macon County,TN
2528,47113,Madison County,TN
2529,47115,Marion County,TN
2530,47117,Marshall County,TN
2531,47119,Maury County,TN
2532,47121,Meigs County,TN
2533,47123,Monroe County,TN
2534,47125,Montgomery County,TN
2535,47127,Moore County,TN
2536,47129,Morgan County,TN
2537,47131,Obion County,TN
2538,47133,Overton County,TN
2539,47135,Perry County,TN
2540,47137,Pickett County,TN
2541,47139,Polk County,TN
2542,47141,Putnam County,TN
2543,47143,Rhea County,TN
2544,47145,Roane County,TN
2545,47147,Robertson County,TN
2546,47149,Rutherford County,TN
2547,47151,Scott County,TN
2548,47153,Sequatchie County,TN
2549,47155,Sevier County,TN
2550,47157,Shelby County,TN
2551,47159,Smith County,TN
2552,47161,Stewart County,TN
2553,47163,Sullivan County,TN
2554,47165,Sumner County,TN
2555,47167,Tipton County,TN
2556,47169,Trousdale County,TN
2557,47171,Unicoi County,TN
2558,47173,Union County,TN
2559,47175,Van Buren County,TN
2560,47177,Warren County,TN
2561,47179,Washington County,TN
2562,47181,Wayne County,TN
2563,47183,Weakley County,TN
2564,47185,White County,TN
2565,47187,Williamson County,TN
2566,47189,Wilson County,TN
2567,48000,TEXAS,
2568,48001,Anderson County,TX
2569,48003,Andrews County,TX
2570,48005,Angelina County,TX
2571,48007,Aransas County,TX
2572,48009,Archer County,TX
2573,48011,Armstrong County,TX
2574,48013,Atascosa County,TX
2575,48015,Austin County,TX
2576,48017,Bailey County,TX
2577,48019,Bandera County,TX
2578,48021,Bastrop County,TX
2579,48023,Baylor County,TX
2580,48025,Bee County,TX
2581,48027,Bell County,TX
2582,48029,Bexar County,TX
2583,48031,Blanco County,TX
2584,48033,Borden County,TX
2585,48035,Bosque County,TX
2586,48037,Bowie County,TX
2587,48039,Brazoria County,TX
2588,48041,Brazos County,TX
2589,48043,Brewster County,TX
2590,48045,Briscoe County,TX
2591,48047,Brooks County,TX
2592,48049,Brown County,TX
2593,48051,Burleson County,TX
2594,48053,Burnet County,TX
2595,48055,Caldwell County,TX
2596,48057,Calhoun County,TX
2597,48059,Callahan County,TX
2598,48061,Cameron County,TX
2599,48063,Camp County,TX
2600,48065,Carson County,TX
2601,48067,Cass County,TX
2602,48069,Castro County,TX
2603,48071,Chambers County,TX
2604,48073,Cherokee County,TX
2605,48075,Childress County,TX
2606,48077,Clay County,TX
2607,48079,Cochran County,TX
2608,48081,Coke County,TX
2609,48083,Coleman County,TX
2610,48085,Collin County,TX
2611,48087,Collingsworth County,TX
2612,48089,Colorado County,TX
2613,48091,Comal County,TX
2614,48093,Comanche County,TX
2615,48095,Concho County,TX
2616,48097,Cooke County,TX
2617,48099,Coryell County,TX
2618,48101,Cottle County,TX
2619,48103,Crane County,TX
2620,48105,Crockett County,TX
2621,48107,Crosby County,TX
2622,48109,Culberson County,TX
2623,48111,Dallam County,TX
2624,48113,Dallas County,TX
2625,48115,Dawson County,TX
2626,48117,Deaf Smith County,TX
2627,48119,Delta County,TX
2628,48121,Denton County,TX
2629,48123,DeWitt County,TX
2630,48125,Dickens County,TX
2631,48127,Dimmit County,TX
2632,48129,Donley County,TX
2633,48131,Duval County,TX
2634,48133,Eastland County,TX
2635,48135,Ector County,TX
2636,48137,Edwards County,TX
2637,48139,Ellis County,TX
2638,48141,El Paso County,TX
2639,48143,Erath County,TX
2640,48145,Falls County,TX
2641,48147,Fannin County,TX
2642,48149,Fayette County,TX
2643,48151,Fisher County,TX
2644,48153,Floyd County,TX
2645,48155,Foard County,TX
2646,48157,Fort Bend County,TX
2647,48159,Franklin County,TX
2648,48161,Freestone County,TX
2649,48163,Frio County,TX
2650,48165,Gaines County,TX
2651,48167,Galveston County,TX
2652,48169,Garza County,TX
2653,48171,Gillespie County,TX
2654,48173,Glasscock County,TX
2655,48175,Goliad County,TX
2656,48177,Gonzales County,TX
2657,48179,Gray County,TX
2658,48181,Grayson County,TX
2659,48183,Gregg County,TX
2660,48185,Grimes County,TX
2661,48187,Guadalupe County,TX
2662,48189,Hale County,TX
2663,48191,Hall County,TX
2664,48193,Hamilton County,TX
2665,48195,Hansford County,TX
2666,48197,Hardeman County,TX
2667,48199,Hardin County,TX
2668,48201,Harris County,TX
2669,48203,Harrison County,TX
2670,48205,Hartley County,TX
2671,48207,Haskell County,TX
2672,48209,Hays County,TX
2673,48211,Hemphill County,TX
2674,48213,Henderson County,TX
2675,48215,Hidalgo County,TX
2676,48217,Hill County,TX
2677,48219,Hockley County,TX
2678,48221,Hood County,TX
2679,48223,Hopkins County,TX
2680,48225,Houston County,TX
2681,48227,Howard County,TX
2682,48229,Hudspeth County,TX
2683,48231,Hunt County,TX
2684,48233,Hutchinson County,TX
2685,48235,Irion County,TX
2686,48237,Jack County,TX
2687,48239,Jackson County,TX
2688,48241,Jasper County,TX
2689,48243,Jeff Davis County,TX
2690,48245,Jefferson County,TX
2691,48247,Jim Hogg County,TX
2692,48249,Jim Wells County,TX
2693,48251,Johnson County,TX
2694,48253,Jones County,TX
2695,48255,Karnes County,TX
2696,48257,Kaufman County,TX
2697,48259,Kendall County,TX
2698,48261,Kenedy County,TX
2699,48263,Kent County,TX
2700,48265,Kerr County,TX
2701,48267,Kimble County,TX
2702,48269,King County,TX
2703,48271,Kinney County,TX
2704,48273,Kleberg County,TX
2705,48275,Knox County,TX
2706,48277,Lamar County,TX
2707,48279,Lamb County,TX
2708,48281,Lampasas County,TX
2709,48283,La Salle County,TX
2710,48285,Lavaca County,TX
2711,48287,Lee County,TX
2712,48289,Leon County,TX
2713,48291,Liberty County,TX
2714,48293,Limestone County,TX
2715,48295,Lipscomb County,TX
2716,48297,Live Oak County,TX
2717,48299,Llano County,TX
2718,48301,Loving County,TX
2719,48303,Lubbock County,TX
2720,48305,Lynn County,TX
2721,48307,McCulloch County,TX
2722,48309,McLennan County,TX
2723,48311,McMullen County,TX
2724,48313,Madison County,TX
2725,48315,Marion County,TX
2726,48317,Martin County,TX
2727,48319,Mason County,TX
2728,48321,Matagorda County,TX
2729,48323,Maverick County,TX
2730,48325,Medina County,TX
2731,48327,Menard County,TX
2732,48329,Midland County,TX
2733,48331,Milam County,TX
2734,48333,Mills County,TX
2735,48335,Mitchell County,TX
2736,48337,Montague County,TX
2737,48339,Montgomery County,TX
2738,48341,Moore County,TX
2739,48343,Morris County,TX
2740,48345,Motley County,TX
2741,48347,Nacogdoches County,TX
2742,48349,Navarro County,TX
2743,48351,Newton County,TX
2744,48353,Nolan County,TX
2745,48355,Nueces County,TX
2746,48357,Ochiltree County,TX
2747,48359,Oldham County,TX
2748,48361,Orange County,TX
2749,48363,Palo Pinto County,TX
2750,48365,Panola County,TX
2751,48367,Parker County,TX
2752,48369,Parmer County,TX
2753,48371,Pecos County,TX
2754,48373,Polk County,TX
2755,48375,Potter County,TX
2756,48377,Presidio County,TX
2757,48379,Rains County,TX
2758,48381,Randall County,TX
2759,48383,Reagan County,TX
2760,48385,Real County,TX
2761,48387,Red River County,TX
2762,48389,Reeves County,TX
2763,48391,Refugio County,TX
2764,48393,Roberts County,TX
2765,48395,Robertson County,TX
2766,48397,Rockwall County,TX
2767,48399,Runnels County,TX
2768,48401,Rusk County,TX
2769,48403,Sabine County,TX
2770,48405,San Augustine County,TX
2771,48407,San Jacinto County,TX
2772,48409,San Patricio County,TX
2773,48411,San Saba County,TX
2774,48413,Schleicher County,TX
2775,48415,Scurry County,TX
2776,48417,Shackelford County,TX
2777,48419,Shelby County,TX
2778,48421,Sherman County,TX
2779,48423,Smith County,TX
2780,48425,Somervell County,TX
2781,48427,Starr County,TX
2782,48429,Stephens County,TX
2783,48431,Sterling County,TX
2784,48433,Stonewall County,TX
2785,48435,Sutton County,TX
2786,48437,Swisher County,TX
2787,48439,Tarrant County,TX
2788,48441,Taylor County,TX
2789,48443,Terrell County,TX
2790,48445,Terry County,TX
2791,48447,Throckmorton County,TX
2792,48449,Titus County,TX
2793,48451,Tom Green County,TX
2794,48453,Travis County,TX
2795,48455,Trinity County,TX
2796,48457,Tyler County,TX
2797,48459,Upshur County,TX
2798,48461,Upton County,TX
2799,48463,Uvalde County,TX
2800,48465,Val Verde County,TX
2801,48467,Van Zandt County,TX
2802,48469,Victoria County,TX
2803,48471,Walker County,TX
2804,48473,Waller County,TX
2805,48475,Ward County,TX
2806,48477,Washington County,TX
2807,48479,Webb County,TX
2808,48481,Wharton County,TX
2809,48483,Wheeler County,TX
2810,48485,Wichita County,TX
2811,48487,Wilbarger County,TX
2812,48489,Willacy County,TX
2813,48491,Williamson County,TX
2814,48493,Wilson County,TX
2815,48495,Winkler County,TX
2816,48497,Wise County,TX
2817,48499,Wood County,TX
2818,48501,Yoakum County,TX
2819,48503,Young County,TX
2820,48505,Zapata County,TX
2821,48507,Zavala County,TX
2822,49000,UTAH,
2823,49001,Beaver County,UT
2824,49003,Box Elder County,UT
2825,49005,Cache County,UT
2826,49007,Carbon County,UT
2827,49009,Daggett County,UT
2828,49011,Davis County,UT
2829,49013,Duchesne County,UT
2830,49015,Emery County,UT
2831,49017,Garfield County,UT
2832,49019,Grand County,UT
2833,49021,Iron County,UT
2834,49023,Juab County,UT
2835,49025,Kane County,UT
2836,49027,Millard County,UT
2837,49029,Morgan County,UT
2838,49031,Piute County,UT
2839,49033,Rich County,UT
2840,49035,Salt Lake County,UT
2841,49037,San Juan County,UT
2842,49039,Sanpete County,UT
2843,49041,Sevier County,UT
2844,49043,Summit County,UT
2845,49045,Tooele County,UT
2846,49047,Uintah County,UT
2847,49049,Utah County,UT
2848,49051,Wasatch County,UT
2849,49053,Washington County,UT
2850,49055,Wayne County,UT
2851,49057,Weber County,UT
2852,50000,VERMONT,
2853,50001,Addison County,VT
2854,50003,Bennington County,VT
2855,50005,Caledonia County,VT
2856,50007,Chittenden County,VT
2857,50009,Essex County,VT
2858,50011,Franklin County,VT
2859,50013,Grand Isle County,VT
2860,50015,Lamoille County,VT
2861,50017,Orange County,VT
2862,50019,Orleans County,VT
2863,50021,Rutland County,VT
2864,50023,Washington County,VT
2865,50025,Windham County,VT
2866,50027,Windsor County,VT
2867,51000,VIRGINIA,
2868,51001,Accomack County,VA
2869,51003,Albemarle County,VA
2870,51005,Alleghany County,VA
2871,51007,Amelia County,VA
2872,51009,Amherst County,VA
2873,51011,Appomattox County,VA
2874,51013,Arlington County,VA
2875,51015,Augusta County,VA
2876,51017,Bath County,VA
